In Order of PValue (Interesting Regressions Highlighted):
Index, Chart, Subset, N=, Slope, p-value, R^2, Y-intercept, X-mean, Y-mean, SD, CC
103, LnCac1 / LnNcpv1 vs. LnCac0, BetaUZeta, 52, 4.9165, 0.0282, 0.8415, -0.1361, 0.6946, 3.2791, 0.0538, 0.9173
104, LnCac1 / LnNcpv0 vs. LnCac0, Beta, 40, 5.6345, 0.0290, 0.8442, -1.0973, 0.8018, 3.4204, 0.0511, 0.9188
105, LnCac1 / LnNcpv0 vs. LnCac0, Theta, 23, 5.4348, 0.0291, 0.8574, -1.0806, 0.6309, 2.3480, 0.0663, 0.9260
106, LnCac1 / LnNcpv1 vs. LnTps0, Alpha, 88, 1.6676, 0.0292, 0.8342, 0.0193, 0.3388, 0.5843, 0.0455, 0.9134
107, LnTps0 / LnNcpv1 vs. LnTps1, Alpha, 88, 5.2652, 0.0310, 0.8311, 0.1530, 0.1147, 0.7571, 0.0158, 0.9117
108, Tcpv0 / Pav0 vs. Tcpv1, Zeta, 12, 0.0970, 0.0310, 0.8830, -4.6221, 408.6546, 35.0167, 149.8135, 0.9397
109, LnCac0 / LnNcpv0 vs. LnCac1, BetaUZeta, 52, 4.4436, 0.0315, 0.8359, 0.3826, 0.6964, 3.4772, 0.0582, 0.9143
110, LnCac0 / LnNcpv1 vs. LnCac1, Zeta, 12, 4.9337, 0.0321, 0.8813, -0.5092, 0.6056, 2.4788, 0.1525, 0.9388
111, LnCac0 / LnNcpv0 vs. LnTps0, Alpha, 88, 1.5999, 0.0327, 0.8283, 0.0648, 0.3248, 0.5843, 0.0473, 0.9101
112, Cac1 / Pav0 vs. Tcpv1, Zeta, 12, 0.0351, 0.0334, 0.8793, -4.2974, 1119.7875, 35.0167, 413.0463, 0.9377
113, Tps0 vs. Tps1, Beta, 40, 1.0217, 0.0345, 0.8351, 1.1272, 3.3500, 4.5500, 0.4666, 0.9138
114, LnTps0 / LnNcpv0 vs. LnCac1, Alpha, 88, 12.6328, 0.0349, 0.8246, 0.1518, 0.1239, 1.7167, 0.0171, 0.9081
115, LnCac1 / LnNcpv0 vs. LnCac0, BetaUZeta, 52, 4.6492, 0.0352, 0.8298, -0.1724, 0.7424, 3.2791, 0.0564, 0.9109
116, LnCac0 / LnCac1 vs. LnTps0, Alpha, 88, 1.5504, 0.0359, 0.8230, 0.0343, 0.3548, 0.5843, 0.0487, 0.9072
117, LnCac1 / LnNcpv0 vs. LnTps0, Alpha, 88, 1.5446, 0.0374, 0.8205, 0.0214, 0.3644, 0.5843, 0.0488, 0.9058
118, LnTcpv0 / LnTcpv1 vs. LnCac1, Zeta, 12, 5.3027, 0.0383, 0.8721, -0.4765, 0.5573, 2.4788, 0.1412, 0.9339
119, Cac1 / Pav1 vs. Cac0, Omega, 100, 0.0904, 0.0394, 0.8165, -7.5180, 639.4265, 50.2800, 101.3307, 0.9036
120, LnPav0 vs. LnPav1, Zeta, 12, 0.9351, 0.0402, 0.8694, 0.0120, 0.0488, 0.0576, 0.0105, 0.9324
121, LnCac0 / LnTcpv0 vs. LnCac1, Alpha, 88, 3.1510, 0.0413, 0.8145, 0.2455, 0.4669, 1.7167, 0.0680, 0.9025
122, Tps0 vs. Tps1, BetaUZeta, 52, 1.0045, 0.0413, 0.8202, 0.8705, 3.1538, 4.0385, 0.4070, 0.9056
123, LnTps1 / LnCac1 vs. LnCac0, Zeta, 12, 13.2839, 0.0420, 0.8670, 0.7313, 0.1563, 2.8082, 0.0506, 0.9311
124, Pav0 vs. Pav1, Zeta, 12, 0.9432, 0.0429, 0.8658, 0.0122, 0.0506, 0.0599, 0.0111, 0.9305
125, LnCac0 / LnNcpv0 vs. LnCac1, Zeta, 12, 4.7596, 0.0436, 0.8648, -0.5500, 0.6363, 2.4788, 0.1566, 0.9300
126, Tcpv0 / Pav1 vs. Tcpv1, Omega, 100, 0.1188, 0.0448, 0.8083, -1.9220, 207.2198, 22.7010, 32.3409, 0.8991
127, LnTps0 / LnNcpv0 vs. LnCac0, Alpha, 88, 12.1872, 0.0452, 0.8087, 0.0450, 0.1239, 1.5547, 0.0171, 0.8993
128, LnTps0 / LnNcpv1 vs. LnCac1, Omega, 100, 13.4396, 0.0463, 0.8061, 0.1048, 0.1267, 1.8082, 0.0152, 0.8978
129, LnTps0 / LnNcpv0 vs. LnTps1, Alpha, 88, 4.7829, 0.0490, 0.8031, 0.1646, 0.1239, 0.7571, 0.0171, 0.8962
130, LnCac1 / LnNcpv1 vs. LnTps0, Omega, 100, 1.5697, 0.0497, 0.8011, 0.0645, 0.3612, 0.6315, 0.0447, 0.8950
131, LnCac1 / LnNcpv1 vs. LnDCac, Alpha, 88, 2.9864, 0.0499, 0.8019, 0.0078, 0.3388, 1.0196, 0.0455, 0.8955
132, LnTps0 / LnTps1 vs. LnDTps, Eta, 17, -5.9121, 0.0511, 0.8358, 6.0004, 0.9135, 0.5999, 0.0223, -0.9142
133, LnCac0 / LnCac1 vs. LnTcpv0, Omega, 100, 3.3539, 0.0519, 0.7980, 0.1458, 0.3730, 1.3968, 0.0466, 0.8933
134, LnTps0 / LnNcpv1 vs. LnTcpv0, Alpha, 88, 10.3109, 0.0521, 0.7987, 0.1333, 0.1147, 1.3164, 0.0158, 0.8937
135, Tcpv1 / Pav1 vs. Tcpv0, Zeta, 12, 0.0969, 0.0526, 0.8529, -8.0009, 409.5051, 31.6833, 137.9136, 0.9235
136, LnCac0 / LnNcpv1 vs. LnTps0, Omega, 100, 1.6059, 0.0557, 0.7928, 0.0860, 0.3397, 0.6315, 0.0434, 0.8904
137, LnCac1 / LnNcpv0 vs. LnTps0, Omega, 100, 1.4706, 0.0560, 0.7924, 0.0638, 0.3860, 0.6315, 0.0474, 0.8902
138, Cac0 / Pav0 vs. Cac1, Zeta, 12, 0.1016, 0.0561, 0.8485, -25.0337, 1176.1544, 94.4167, 370.2750, 0.9211
139, Cac1 / Pav1 vs. Tcpv0, Omega, 100, 0.0330, 0.0564, 0.7918, -2.3975, 639.4265, 18.6940, 101.3307, 0.8898
140, LnTps0 vs. LnTps1, Eta, 17, 0.9598, 0.0564, 0.8288, 0.2413, 1.7119, 1.8844, 0.1143, 0.9104
141, Cac1 / Pav1 vs. Cac0, Alpha, 88, 0.0886, 0.0565, 0.7928, -7.1653, 585.2210, 44.6818, 104.1590, 0.8904
142, LnTps0 / LnNcpv1 vs. LnCac0, Omega, 100, 12.9761, 0.0566, 0.7916, 0.0605, 0.1267, 1.7051, 0.0152, 0.8897
143, Tcpv0 / Pav1 vs. Tcpv1, Alpha, 88, 0.1215, 0.0581, 0.7905, -1.7637, 187.4701, 21.0216, 32.3542, 0.8891
144, Cac1 / Pav1 vs. Tcpv1, Omega, 100, 0.0375, 0.0584, 0.7891, -1.2591, 639.4265, 22.7010, 101.3307, 0.8883
145, LnCac1 / LnNcpv0 vs. LnTcpv0, Zeta, 12, 3.1858, 0.0587, 0.8452, 0.2521, 0.5444, 1.9864, 0.1750, 0.9194
146, LnCac1 / LnNcpv0 vs. LnDCac, Alpha, 88, 2.7662, 0.0595, 0.7887, 0.0115, 0.3644, 1.0196, 0.0488, 0.8881
147, LnCac0 / LnCac1 vs. LnTcpv0, Alpha, 88, 3.3184, 0.0599, 0.7882, 0.1391, 0.3548, 1.3164, 0.0487, 0.8878
148, Cac1 / Pav1 vs. Tcpv1, Alpha, 88, 0.0377, 0.0608, 0.7869, -1.0220, 585.2210, 21.0216, 104.1590, 0.8871
149, Cac0 / Pav0 vs. Tcpv0, Zeta, 12, 0.0359, 0.0609, 0.8425, -10.5101, 1176.1544, 31.6833, 370.2750, 0.9179
150, LnCac0 / LnCac1 vs. LnTcpv1, Alpha, 88, 3.3929, 0.0612, 0.7864, 0.3394, 0.3548, 1.5431, 0.0487, 0.8868
151, Cac0 / Pav0 vs. Tcpv1, Zeta, 12, 0.0383, 0.0615, 0.8418, -10.0534, 1176.1544, 35.0167, 370.2750, 0.9175
152, Cac1 / Pav1 vs. Tcpv0, Alpha, 88, 0.0325, 0.0618, 0.7857, -2.1180, 585.2210, 16.9227, 104.1590, 0.8864
153, LnCac0 / LnNcpv0 vs. LnTps0, Omega, 100, 1.5011, 0.0624, 0.7838, 0.0879, 0.3621, 0.6315, 0.0462, 0.8853
154, LnNcpv0 vs. LnNcpv1, Gamma, 48, 0.7646, 0.0625, 0.7918, 1.3197, 2.5229, 3.2487, 0.1740, 0.8898
155, LnDCac / LnNcpv1 vs. LnCac1, Alpha, 88, 7.1505, 0.0627, 0.7845, 0.2723, 0.2020, 1.7167, 0.0294, 0.8857
156, Tps0 vs. Tps1, Theta, 23, 1.0786, 0.0631, 0.8083, 1.0567, 2.0435, 3.2609, 0.4522, 0.8991
157, LnCac0 / LnCac1 vs. LnTcpv0, Zeta, 12, 3.4759, 0.0633, 0.8396, 0.2251, 0.5067, 1.9864, 0.1599, 0.9163
158, LnTps0 / LnNcpv1 vs. LnTcpv1, Alpha, 88, 10.4520, 0.0636, 0.7833, 0.3438, 0.1147, 1.5431, 0.0158, 0.8851
159, LnCac0 / LnCac1 vs. LnTcpv1, Omega, 100, 3.3809, 0.0638, 0.7820, 0.3558, 0.3730, 1.6169, 0.0466, 0.8843
160, Tcpv1 / Pav0 vs. LnDTcpv, Zeta, 12, 0.0017, 0.0647, 0.8379, 0.1080, 516.5147, 0.9847, 166.8450, 0.9154
161, Tcpv0 / Pav1 vs. Cac0, Omega, 100, 0.2769, 0.0648, 0.7807, -7.1073, 207.2198, 50.2800, 32.3409, 0.8836
